# Time, Mode, Ch0, Ch1, Ch2, Ch3, Ch4, Ch5, Ch6, Ch7, Total, RA, DEC
222.496750, 16.000000, 44.000000,  2.000000,  3.000000,  4.000000,  5.000000,  0.000000,  4.000000, 15.000000,  0.000000,  2.719233, 16.912486
222.498962, 16.000000, 50.000000,  6.000000,  7.000000,  8.000000,  4.000000,  3.000000,  2.000000, 15.000000,  0.000000,  2.719233, 16.912486
222.501160, 16.000000, 56.000000,  4.000000,  4.000000,  2.000000,  3.000000,  0.000000,  3.000000, 16.000000,  0.000000,  2.719233, 16.912486
222.503372, 16.000000, 43.000000,  4.000000,  2.000000,  2.000000,  3.000000,  4.000000,  4.000000, 13.000000,  0.000000,  2.719233, 16.912486
222.505569, 16.000000, 51.000000,  2.000000,  3.000000,  4.000000,  2.000000,  2.000000,  4.000000, 17.000000,  0.000000,  2.719233, 16.912486
222.507843, 16.000000, 48.000000,  3.000000,  0.000000,  5.000000,  4.000000,  3.000000,  2.000000, 13.000000,  0.000000,  2.719233, 16.912486
222.510056, 16.000000, 40.000000,  2.000000,  1.000000,  4.000000,  4.000000,  2.000000,  3.000000, 13.000000,  0.000000,  2.719233, 16.912486
222.512253, 16.000000, 55.000000,  6.000000,  3.000000,  2.000000,  1.000000,  3.000000,  2.000000,  5.000000,  0.000000,  2.719233, 16.912486
222.514465, 16.000000, 55.000000,  3.000000,  0.000000,  4.000000,  7.000000,  7.000000,  0.000000, 15.000000,  0.000000,  2.719233, 16.912486
222.516739, 16.000000, 47.000000,  3.000000,  1.000000,  2.000000,  1.000000,  2.000000,  1.000000, 15.000000,  0.000000,  2.719233, 16.912486
222.518936, 16.000000, 50.000000,  2.000000,  3.000000,  3.000000,  0.000000,  2.000000,  2.000000, 14.000000,  0.000000,  2.719233, 16.912486
222.521149, 16.000000, 57.000000,  4.000000,  4.000000,  4.000000,  0.000000,  5.000000,  2.000000, 16.000000,  0.000000,  2.719233, 16.912486
222.523346, 16.000000, 56.000000,  3.000000,  3.000000,  4.000000,  2.000000,  2.000000,  4.000000, 12.000000,  0.000000,  2.719233, 16.912486
222.525558, 16.000000, 44.000000,  2.000000,  3.000000,  1.000000,  2.000000,  2.000000,  4.000000, 24.000000,  0.000000,  2.719233, 16.912486
222.527832, 16.000000, 43.000000,  2.000000,  3.000000,  3.000000,  2.000000,  3.000000,  2.000000, 11.000000,  0.000000,  2.719233, 16.912486
222.530029, 16.000000, 49.000000,  2.000000,  4.000000,  1.000000,  2.000000,  1.000000,  3.000000, 21.000000,  0.000000,  2.719233, 16.912486
222.532242, 16.000000, 47.000000,  4.000000,  2.000000,  4.000000,  1.000000,  3.000000,  2.000000, 19.000000,  0.000000,  2.719233, 16.912486
222.534439, 16.000000, 49.000000,  4.000000,  3.000000,  3.000000,  5.000000,  3.000000,  1.000000, 12.000000,  0.000000,  2.719233, 16.912486
222.538925, 16.000000, 48.000000,  4.000000,  0.000000,  0.000000,  2.000000,  4.000000,  4.000000, 14.000000,  0.000000,  2.719233, 16.912486
222.541122, 16.000000, 48.000000,  8.000000,  5.000000,  5.000000,  9.000000,  4.000000,  1.000000, 16.000000,  0.000000,  2.719233, 16.912486
222.543335, 16.000000, 56.000000,  3.000000,  2.000000,  3.000000,  1.000000,  2.000000,  3.000000, 14.000000,  0.000000,  2.719233, 16.912486
222.545609, 16.000000, 43.000000,  3.000000,  4.000000,  4.000000,  1.000000,  0.000000,  3.000000, 21.000000,  0.000000,  2.719233, 16.912486
222.547806, 16.000000, 52.000000,  2.000000,  4.000000,  4.000000,  2.000000,  2.000000,  1.000000, 16.000000,  0.000000,  2.719233, 16.912486
222.550018, 16.000000, 48.000000,  3.000000,  2.000000,  2.000000,  6.000000,  3.000000,  3.000000, 17.000000,  0.000000,  2.719233, 16.912486
222.552216, 16.000000, 50.000000,  3.000000,  1.000000,  0.000000,  1.000000,  2.000000,  6.000000, 20.000000,  0.000000,  2.719233, 16.912486
222.554428, 16.000000, 50.000000,  7.000000,  4.000000,  1.000000,  5.000000,  3.000000,  9.000000, 22.000000,  0.000000,  2.719233, 16.912486
222.556702, 16.000000, 45.000000,  5.000000,  2.000000,  2.000000,  1.000000,  1.000000,  3.000000, 16.000000,  0.000000,  2.719233, 16.912486
222.558899, 16.000000, 53.000000,  5.000000,  7.000000,  5.000000,  1.000000,  1.000000,  3.000000, 14.000000,  0.000000,  2.719233, 16.912486
222.561111, 16.000000, 42.000000,  2.000000,  0.000000,  5.000000,  1.000000,  2.000000,  2.000000, 16.000000,  0.000000,  2.719233, 16.912486
222.563324, 16.000000, 44.000000,  3.000000,  2.000000,  1.000000,  1.000000,  3.000000,  2.000000, 15.000000,  0.000000,  2.719233, 16.912486
222.565582, 16.000000, 42.000000,  5.000000,  0.000000,  2.000000,  1.000000,  5.000000,  4.000000, 15.000000,  0.000000,  2.719233, 16.912486
222.567795, 16.000000, 34.000000,  7.000000,  2.000000,  4.000000,  2.000000,  2.000000,  4.000000, 27.000000,  0.000000,  2.719233, 16.912486
222.570007, 16.000000, 50.000000,  8.000000,  1.000000,  4.000000,  2.000000,  2.000000,  2.000000, 14.000000,  0.000000,  2.719233, 16.912486
222.572205, 16.000000, 43.000000,  2.000000,  2.000000,  4.000000,  1.000000,  2.000000,  3.000000, 16.000000,  0.000000,  2.719233, 16.912486
222.574417, 16.000000, 27.000000,  1.000000,  1.000000,  3.000000,  3.000000,  3.000000,  2.000000, 31.000000,  0.000000,  2.719233, 16.912486
222.576691, 16.000000, 69.000000,  3.000000,  2.000000,  2.000000,  0.000000,  3.000000,  0.000000, 11.000000,  0.000000,  2.719233, 16.912486
222.578888, 16.000000, 51.000000,  2.000000,  4.000000,  4.000000,  2.000000,  4.000000,  1.000000,  6.000000,  0.000000,  2.719233, 16.912486
222.581100, 16.000000, 39.000000,  2.000000,  1.000000,  3.000000,  0.000000,  1.000000,  5.000000, 14.000000,  0.000000,  2.719233, 16.912486
222.583298, 16.000000, 73.000000,  3.000000,  1.000000,  3.000000,  4.000000,  1.000000,  2.000000, 15.000000,  3.258000,  2.719233, 16.912486
222.585571, 16.000000, 63.000000,  2.000000,  1.000000,  1.000000,  0.000000,  1.000000,  3.000000, 18.000000,  0.000000,  2.719233, 16.912486
222.607758, 16.000000, 79.000000,  3.000000,  6.000000,  3.000000,  3.000000,  4.000000,  0.000000, 23.000000,  8.658000,  2.719233, 16.912486
222.609970, 16.000000, 56.000000,  2.000000,  3.000000,  3.000000,  0.000000,  3.000000,  2.000000, 16.000000,  0.000000,  2.719233, 16.912486
222.612167, 16.000000, 46.000000,  4.000000,  4.000000,  3.000000,  4.000000,  0.000000,  0.000000, 15.000000,  0.000000,  2.719233, 16.912486
222.614380, 16.000000, 57.000000,  4.000000,  3.000000,  2.000000,  0.000000,  3.000000,  5.000000, 14.000000,  0.000000,  2.719233, 16.912486
