# GET [h], RA [h], DEC [deg]
225.20639,0.13636418,17.370406
225.20729,0.13625178,17.397209
225.20819,0.13613807,17.423992
225.20909,0.13602393,17.450778
225.21,0.13591222,17.477552
225.2109,0.13579777,17.504324
225.21187,0.13567554,17.533137
225.21278,0.1355618,17.55988
225.21368,0.13544789,17.58663
225.21458,0.13533471,17.61339
225.21548,0.13522002,17.640121
225.21638,0.13510617,17.666854
225.21729,0.13613008,17.678303
225.2182,0.13836,17.673578
225.2191,0.1405899,17.668847
225.22,0.14281893,17.664075
225.22098,0.14522065,17.658888
225.22188,0.14745003,17.654059
225.22278,0.14967958,17.649202
225.22368,0.15190939,17.644316
225.22458,0.15413943,17.639401
225.22548,0.15636939,17.63446
225.2264,0.15860115,17.629465
225.2273,0.16083313,17.624475
225.2282,0.1630631,17.619444
225.22917,0.16546553,17.614004
225.23007,0.16769724,17.608927
225.23097,0.16992842,17.603821
225.23187,0.17215904,17.59868
225.23277,0.17439034,17.593512
225.23367,0.17602498,17.586677
225.23459,0.17490126,17.57221
225.23549,0.17377616,17.557775
225.23639,0.17264992,17.543326
225.23729,0.17152436,17.528893
225.23827,0.17031451,17.513347
225.23917,0.16918857,17.498909
225.24007,0.16806374,17.484491
225.24097,0.16693903,17.470068
225.24188,0.16581505,17.455643
225.24278,0.16469074,17.441227
225.24368,0.16356479,17.426799
225.24458,0.16244026,17.41239
225.24548,0.16131622,17.397986
225.24646,0.16010586,17.382452
225.24736,0.15898166,17.368058
225.24826,0.15785782,17.353661
225.24916,0.15673389,17.339269
225.25008,0.1556099,17.324825
225.25098,0.15410996,17.302438
225.25188,0.15255238,17.278828
225.25278,0.15099703,17.25522
225.25368,0.14943974,17.231579
225.25458,0.14788399,17.207938
225.25555,0.14620812,17.182447
225.25645,0.14465131,17.158759
225.25735,0.14309699,17.135088
225.25827,0.14154261,17.111339
225.25917,0.13998814,17.087624
225.26007,0.1384325,17.063885
225.26097,0.13687759,17.040123
225.26187,0.13532379,17.016373
225.26277,0.133769,16.992581
225.26375,0.13209703,16.966956
225.26465,0.13054322,16.943143
225.26555,0.12898859,16.919304
225.26646,0.1274363,16.895458
225.26736,0.12817324,16.88333
225.26826,0.13069163,16.880327
225.26917,0.13320999,16.877332
225.27007,0.13572841,16.874393
225.27097,0.13824636,16.871464
225.27188,0.14076511,16.868555
225.27284,0.14347678,16.865485
225.27374,0.1459953,16.862641
225.27466,0.14851519,16.859792
225.27556,0.15103357,16.857009
225.27646,0.15355286,16.854252
225.27736,0.15607159,16.851512
225.27826,0.15859002,16.848806
225.27916,0.16110837,16.846125
225.28008,0.16362844,16.84343
225.28104,0.16634054,16.84062
225.28195,0.1688603,16.83801
225.28285,0.17137893,16.835425
225.28375,0.17265451,16.84398
225.28465,0.17029085,16.884969
225.28555,0.16792498,16.925936
225.28645,0.16556039,16.966934
