# GET [h], theta [deg], phi [deg]
225.21458,5.8640958,-113.78186
225.21548,5.8507653,-113.44652
225.21638,5.8376342,-113.10975
225.21729,5.8465885,-112.80924
225.2182,5.87883,-112.55146
225.2191,5.9111425,-112.29772
225.22,5.9435605,-112.04698
225.22098,5.978649,-111.77882
225.22188,6.0112919,-111.53388
225.22278,6.04404,-111.29168
225.22368,6.0768937,-111.05217
225.22458,6.1098504,-110.81533
225.22548,6.1429029,-110.58112
225.2264,6.1761539,-110.3472
225.2273,6.2094197,-110.11799
225.2282,6.2427598,-109.89156
225.22917,6.2787755,-109.65026
225.23007,6.3123189,-109.42875
225.23097,6.345944,-109.20973
225.23187,6.3796521,-108.99318
225.23277,6.4134522,-108.77895
225.23367,6.4405748,-108.61685
225.23459,6.4365696,-108.68412
225.23549,6.432464,-108.75368
225.23639,6.4283562,-108.8236
225.23729,6.4242553,-108.89357
225.23827,6.4199135,-108.9678
225.23917,6.4158221,-109.03823
225.24007,6.4117407,-109.10864
225.24097,6.4076697,-109.17929
225.24188,6.4036494,-109.24897
225.24278,6.3995918,-109.31992
225.24368,6.3955257,-109.39125
225.24458,6.3914748,-109.46257
225.24548,6.3874334,-109.534
225.24646,6.3831373,-109.6101
225.24736,6.3791029,-109.68189
225.24826,6.3750811,-109.75387
225.24916,6.3710622,-109.82602
225.25008,6.3671399,-109.89648
225.25098,6.3623883,-110.07442
225.25188,6.3575721,-110.26878
225.25278,6.3528374,-110.46334
225.25368,6.3481506,-110.65864
225.25458,6.3435379,-110.85422
225.25555,6.3386455,-111.06543
225.25645,6.3341601,-111.26217
225.25735,6.3297533,-111.45901
225.25827,6.3254999,-111.65449
225.25917,6.3212271,-111.85237
225.26007,6.31701,-112.05084
225.26097,6.312871,-112.24976
225.26187,6.3087982,-112.4489
225.26277,6.3047937,-112.64874
225.26375,6.3006062,-112.86296
225.26465,6.2967468,-113.06357
225.26555,6.2929511,-113.26477
225.26646,6.2892727,-113.46506
225.26736,6.306957,-113.41972
225.26826,6.3413412,-113.18429
225.26917,6.3758649,-112.95048
225.27007,6.4104503,-112.72013
225.27097,6.4451386,-112.49244
225.27188,6.4799657,-112.26614
225.27284,6.5174979,-112.02716
225.27374,6.5524886,-111.80694
225.27466,6.5876641,-111.58711
225.27556,6.6228355,-111.37159
225.27646,6.6581087,-111.15834
225.27736,6.6934684,-110.94748
225.27826,6.7289084,-110.73884
225.27916,6.7644339,-110.53245
225.28008,6.8001484,-110.32637
225.28104,6.8385525,-110.10972
225.28195,6.8743887,-109.90898
225.28285,6.9102598,-109.71143
225.28375,6.9252223,-109.49894
225.28465,6.8789135,-109.23607
225.28555,6.8327319,-108.97003
225.28645,6.7866989,-108.70023
225.28735,6.7407929,-108.42733
225.28827,6.6951514,-108.14874
225.28917,6.64953,-107.86864
225.29015,6.6006282,-107.56184
225.29105,6.5553219,-107.27407
225.29195,6.5101747,-106.9825
225.29285,6.4651753,-106.68712
225.29375,6.4203392,-106.38785
225.29465,6.3756739,-106.08451
225.29556,6.3312168,-105.7763
225.29646,6.2868864,-105.46487
225.29736,6.2427227,-105.14929
225.29834,6.1954269,-104.80356
225.29924,6.1516294,-104.47925
225.30014,6.1080354,-104.15017
225.30104,6.1436357,-103.7491
225.30194,6.1839432,-103.34942
225.30284,6.2245348,-102.9551
225.30376,6.2655415,-102.56392
225.30466,6.3067043,-102.17979
225.30556,6.3481466,-101.80077
225.30646,6.3898378,-101.4269
225.30743,6.4350431,-101.02967
225.30833,6.4772751,-100.66593
225.30923,6.5197645,-100.30694
225.31013,6.5624995,-99.952671
225.31104,6.60554,-99.6022
225.31195,6.6488081,-99.256507
225.31285,6.6922446,-98.916103
225.31375,6.7359102,-98.580127
225.31465,6.7797846,-98.248721
225.31563,6.8273613,-97.895687
225.31653,6.8716903,-97.573048
225.31743,6.8628136,-97.537922
225.31833,6.8238876,-97.664349
225.31923,6.784981,-97.79229
225.32014,6.7461793,-97.92093
225.32104,6.7073348,-98.052066
225.32195,6.6685772,-98.183987
225.32285,6.6297801,-98.318424
225.32375,6.5910121,-98.454547
225.32472,6.5493022,-98.602876
225.32562,6.5105941,-98.742607
225.32652,6.4719192,-98.884069
225.32742,6.4332766,-99.027338
225.32834,6.3947949,-99.170742
225.32924,6.3562186,-99.317652
225.33014,6.3176786,-99.466366
225.33104,6.2791724,-99.617172
225.33194,6.2407032,-99.769954
225.33292,6.1993758,-99.935684
225.33382,6.1887177,-100.04659
225.33618,6.3070494,-100.094
225.33708,6.3522729,-100.11193
225.33798,6.3974812,-100.12996
225.33888,6.4426921,-100.14764
225.3398,6.4880136,-100.16358
225.3407,6.5331967,-100.18118
225.3416,6.5783849,-100.19842
225.3425,6.6235612,-100.21574
225.34348,6.6722674,-100.23329
