# GET [h], theta [deg], phi [deg]
225.15633,96.405171,128.26322
225.15723,96.385954,128.25407
225.15813,96.366764,128.24494
225.15903,96.347547,128.23579
225.15993,96.328327,128.22666
225.1609,96.307629,128.21683
225.1618,96.288398,128.20772
225.1627,96.269161,128.19858
225.1636,96.249925,128.18946
225.16452,96.230695,128.18038
225.16542,96.211447,128.17127
225.16632,96.192191,128.16217
225.16722,96.188687,128.15464
225.16812,96.20797,128.14944
225.1691,96.228736,128.14386
225.17,96.248019,128.13865
225.1709,96.267319,128.13346
225.1718,96.286596,128.12826
225.17271,96.305905,128.12308
225.17361,96.325202,128.1179
225.17451,96.3445,128.1127
225.17542,96.363808,128.10754
225.17632,96.383121,128.10236
225.17729,96.403919,128.09679
225.17819,96.423241,128.09161
225.1791,96.442535,128.08645
225.18,96.46184,128.08126
225.18091,96.481166,128.07611
225.18181,96.500503,128.07096
225.18271,96.519835,128.0658
225.18361,96.536766,128.05982
225.18451,96.532617,128.04673
225.18541,96.528484,128.03362
225.18639,96.524013,128.01951
225.18729,96.519885,128.00639
225.1882,96.515773,127.99329
225.1891,96.511679,127.98017
225.19,96.507589,127.96704
225.1909,96.503506,127.95392
225.1918,96.499433,127.94079
225.1927,96.49535,127.92764
225.1936,96.4913,127.9145
225.19458,96.486936,127.90035
225.19548,96.482912,127.88721
225.1964,96.478876,127.87409
225.1973,96.474868,127.86093
225.1982,96.470855,127.84778
225.1991,96.466876,127.83462
225.2,96.4629,127.82147
225.2009,96.452735,127.82727
225.20181,96.440981,127.83806
225.20271,96.429225,127.84883
225.20367,96.41659,127.86043
225.20459,96.404815,127.87122
225.20549,96.393071,127.88199
225.20639,96.381338,127.89278
225.20729,96.369581,127.90356
225.20819,96.357847,127.91434
225.20909,96.346117,127.92513
225.21,96.334359,127.93592
225.2109,96.322636,127.9467
225.21187,96.310006,127.95834
225.21278,96.298283,127.96913
225.21368,96.286559,127.97994
225.21458,96.27482,127.99072
225.21548,96.263112,128.00153
225.21638,96.251392,128.01233
225.21729,96.232895,128.02548
225.2182,96.207203,128.04113
225.2191,96.18151,128.05675
225.22,96.155843,128.07241
225.22098,96.128203,128.08929
225.22188,96.10255,128.10496
225.22278,96.076903,128.12065
225.22368,96.051263,128.13634
225.22458,96.025628,128.15205
225.22548,96.000003,128.16776
225.2264,95.974373,128.18351
225.2273,95.948737,128.19923
225.2282,95.92314,128.21497
225.22917,95.895568,128.23194
225.23007,95.869962,128.24771
225.23097,95.844372,128.26347
225.23187,95.818801,128.27928
225.23277,95.793229,128.29507
225.23367,95.775929,128.30964
225.23459,95.796846,128.31855
225.23549,95.81777,128.32746
225.23639,95.838716,128.33638
225.23729,95.859648,128.3453
225.23827,95.882162,128.35491
225.23917,95.903105,128.36386
225.24007,95.924025,128.37281
225.24097,95.944948,128.38176
225.24188,95.965863,128.39073
225.24278,95.986781,128.39971
225.24368,96.007726,128.40871
225.24458,96.028647,128.41769
225.24548,96.04956,128.4267
225.24646,96.072091,128.43641
225.24736,96.093005,128.44543
225.24826,96.113918,128.45446
225.24916,96.13483,128.4635
225.25008,96.155767,128.47258
225.25098,96.185267,128.46195
225.25188,96.216084,128.44839
225.25278,96.246877,128.43484
225.25368,96.277713,128.42131
225.25458,96.308533,128.40777
225.25555,96.34175,128.39321
225.25645,96.372614,128.37971
225.25735,96.403442,128.36618
225.25827,96.43431,128.35271
225.25917,96.465168,128.33921
225.26007,96.496057,128.32574
225.26097,96.526951,128.31228
225.26187,96.55783,128.2988
225.26277,96.588744,128.28534
225.26375,96.62201,128.27087
225.26465,96.65293,128.25744
225.26555,96.683877,128.24401
225.26646,96.714799,128.23059
225.26736,96.711314,128.21337
225.26826,96.681042,128.19322
225.26917,96.65076,128.17309
225.27007,96.620447,128.15294
225.27097,96.59013,128.13282
225.27188,96.559787,128.11271
225.27284,96.527086,128.09106
225.27374,96.496705,128.07096
225.27466,96.466302,128.0509
225.27556,96.435883,128.03082
225.27646,96.405436,128.01075
225.27736,96.374983,127.9907
225.27826,96.344512,127.97065
225.27916,96.314025,127.95061
225.28008,96.283515,127.93062
225.28104,96.250636,127.90904
225.28195,96.220081,127.88904
225.28285,96.189525,127.86905
225.28375,96.169225,127.85787
225.28465,96.179039,127.87245
225.28555,96.188871,127.88704
225.28645,96.198651,127.9016
225.28735,96.208473,127.91621
225.28827,96.218242,127.93081
225.28917,96.228044,127.9454
225.29015,96.238582,127.96112
225.29105,96.248368,127.97571
225.29195,96.258142,127.99031
225.29285,96.26792,128.00491
225.29375,96.277694,128.01951
225.29465,96.287449,128.0341
225.29556,96.297219,128.04872
225.29646,96.306973,128.06333
225.29736,96.31673,128.07794
225.29834,96.32722,128.09368
225.29924,96.33699,128.10831
225.30014,96.346711,128.12292
225.30104,96.301054,128.11986
225.30194,96.252313,128.11586
225.30284,96.203587,128.1119
225.30376,96.154833,128.10796
225.30466,96.10609,128.10405
225.30556,96.057346,128.10017
225.30646,96.008629,128.09632
225.30743,95.956158,128.09222
225.30833,95.907438,128.08844
225.30923,95.858712,128.08469
225.31013,95.809987,128.08096
225.31104,95.761262,128.07729
225.31195,95.712559,128.07365
225.31285,95.663848,128.07003
225.31375,95.615133,128.06643
