# GET [h], theta [deg], phi [deg]
225.07896,122.01724,132.62011
225.07986,122.02272,132.59376
225.08076,122.02819,132.56741
225.08167,122.03364,132.54105
225.08264,122.03949,132.51265
225.08354,122.04465,132.48698
225.08444,122.03785,132.48932
225.08534,122.03106,132.49166
225.08624,122.02428,132.49401
225.08716,122.01751,132.49635
225.08806,122.01073,132.4987
225.08896,122.00392,132.50103
225.08986,121.99714,132.50338
225.09076,121.99036,132.50573
225.09174,121.98307,132.50826
225.09264,121.97627,132.51059
225.09354,121.9695,132.51294
225.09445,121.96272,132.51529
225.09535,121.95594,132.51765
225.09625,121.94915,132.51998
225.09715,121.94236,132.52233
225.09805,121.9356,132.52468
225.09895,121.9288,132.52701
225.09993,121.92151,132.52955
225.10083,121.91035,132.53445
225.10173,121.89745,132.54033
225.10265,121.88455,132.54623
225.10355,121.87167,132.55212
225.10445,121.85878,132.55802
225.10535,121.84589,132.56391
225.10625,121.83296,132.5698
225.10715,121.82008,132.57569
225.10806,121.80719,132.58159
225.10902,121.79331,132.58794
225.10992,121.78043,132.59385
225.11084,121.76755,132.59974
225.11174,121.75467,132.60564
225.11264,121.74179,132.61154
225.11354,121.72891,132.61745
225.11444,121.71603,132.62335
225.11534,121.70316,132.62926
225.11626,121.69027,132.63515
225.11722,121.68748,132.64693
225.11812,121.70171,132.66612
225.11903,121.71595,132.6853
225.11993,121.73016,132.7045
225.12083,121.74436,132.72372
225.12173,121.75857,132.74294
225.12263,121.77275,132.76216
225.12354,121.78694,132.7814
225.12445,121.80111,132.80064
225.12535,121.81527,132.8199
225.12631,121.8305,132.84064
225.12723,121.84465,132.85991
225.12813,121.85879,132.87919
225.12903,121.87291,132.89848
225.12993,121.88703,132.91778
225.13083,121.90115,132.9371
225.13173,121.91522,132.9564
225.13264,121.92931,132.97571
225.13354,121.94335,132.99475
225.13452,121.95673,133.00192
225.13542,121.96914,133.00859
225.13632,121.98156,133.01527
225.13722,121.99397,133.02195
225.13812,122.00637,133.02863
225.13902,122.01877,133.03532
225.13992,122.03118,133.04201
225.14084,122.04359,133.0487
225.14174,122.05601,133.05541
225.14264,122.06838,133.0621
225.14362,122.08175,133.06933
225.14452,122.09414,133.07603
225.14542,122.10655,133.08276
225.14632,122.11895,133.08949
225.14722,122.13133,133.0962
225.14813,122.14372,133.10293
225.14903,122.15612,133.10968
225.14993,122.16852,133.11641
225.15083,122.15993,133.10211
225.15181,122.14172,133.07773
225.15271,122.1248,133.05512
225.15361,122.10786,133.03251
225.15451,122.09092,133.00991
225.15541,122.07396,132.98734
225.15633,122.05702,132.96479
225.15723,122.04002,132.94223
225.15813,122.02305,132.91969
225.15903,122.00604,132.89715
225.15993,121.98902,132.87465
225.1609,121.97068,132.85041
225.1618,121.95364,132.82793
225.1627,121.93658,132.80545
225.1636,121.91951,132.78298
225.16452,121.90246,132.76055
225.16542,121.88537,132.73811
225.16632,121.86826,132.71569
225.16722,121.866,132.70117
225.16812,121.88521,132.69809
225.1691,121.9059,132.69478
225.17,121.92511,132.6917
225.1709,121.94433,132.68863
225.1718,121.96353,132.68557
225.17271,121.98277,132.68251
225.17361,122.00199,132.67947
225.17451,122.02121,132.6764
