#GET [h], A15_xpos-J2000[km], A15_ypos-J2000[km], A15_zpos-J2000[km], A15_xvel-J2000[km/s], A15_yvel-J2000[km/s], A15_zvel-J2000[km/s],XRay_point_RA [h], XRay_point_DEC [deg]
227.79277,102081.06,-313599.99,-158006.09,-0.21712706,0.74754263,0.19531188,18.102667,66.421263
227.79375,102080.29,-313597.35,-158005.4,-0.21709062,0.7475423,0.19532373,18.102915,66.452248
227.79465,102079.59,-313594.93,-158004.76,-0.21705718,0.74754201,0.1953346,18.103146,66.481024
227.79556,102078.88,-313592.48,-158004.12,-0.21702337,0.74754171,0.19534559,18.103378,66.509798
227.79646,102078.17,-313590.06,-158003.49,-0.21698996,0.74754141,0.19535646,18.103611,66.538572
227.79736,102077.47,-313587.64,-158002.86,-0.21695657,0.74754112,0.19536732,18.103847,66.567363
227.79826,102076.77,-313585.22,-158002.22,-0.2169232,0.74754083,0.19537818,18.104082,66.596137
227.79916,102076.06,-313582.8,-158001.59,-0.21688984,0.74754055,0.19538903,18.104319,66.62493
227.80006,102075.36,-313580.38,-158000.96,-0.2168565,0.74754026,0.19539988,18.104558,66.653723
227.80098,102074.64,-313577.9,-158000.31,-0.21682244,0.74753997,0.19541097,18.104483,66.684553
227.80194,102073.9,-313575.32,-157999.64,-0.21678692,0.74753967,0.19542253,18.104345,66.718091
227.80284,102073.19,-313572.9,-157999,-0.21675364,0.74753939,0.19543337,18.104219,66.74926
227.80376,102072.48,-313570.42,-157998.35,-0.21671964,0.74753911,0.19544445,18.104095,66.780432
227.80466,102071.77,-313568,-157997.72,-0.21668639,0.74753883,0.19545528,18.103968,66.811589
227.80556,102071.07,-313565.58,-157997.09,-0.21665316,0.74753856,0.1954661,18.103844,66.842757
227.80646,102070.37,-313563.16,-157996.45,-0.21661995,0.74753829,0.19547693,18.103719,66.873928
227.80736,102069.67,-313560.73,-157995.82,-0.21658676,0.74753802,0.19548775,18.103594,66.905099
227.80826,102068.97,-313558.31,-157995.19,-0.21655359,0.74753775,0.19549856,18.103474,66.936293
227.80917,102068.26,-313555.86,-157994.55,-0.21652007,0.74753748,0.19550949,18.103351,66.967476
227.81007,102067.56,-313553.44,-157993.91,-0.21648693,0.74753722,0.1955203,18.103229,66.998669
227.81104,102066.8,-313550.83,-157993.23,-0.21645124,0.74753694,0.19553195,18.103099,67.032268
227.81195,102066.09,-313548.38,-157992.59,-0.21641778,0.74753668,0.19554287,18.102979,67.06347
227.81285,102065.39,-313545.96,-157991.96,-0.2163847,0.74753642,0.19555366,18.10286,67.094681
227.81375,102064.69,-313543.54,-157991.32,-0.21635164,0.74753617,0.19556446,18.10274,67.125889
227.81465,102063.99,-313541.12,-157990.69,-0.2163186,0.74753591,0.19557525,18.102623,67.157113
227.81555,102063.29,-313538.7,-157990.06,-0.21628557,0.74753566,0.19558603,18.102504,67.188328
227.81645,102062.59,-313536.28,-157989.42,-0.21625257,0.74753541,0.19559681,18.102388,67.219561
227.81737,102061.87,-313533.8,-157988.77,-0.21621885,0.74753516,0.19560783,18.101321,67.237407
227.81827,102061.17,-313531.38,-157988.14,-0.21618588,0.74753491,0.1956186,18.099482,67.244403
227.81923,102060.43,-313528.8,-157987.46,-0.21615073,0.74753465,0.19563009,18.097498,67.251902
227.82014,102059.72,-313526.35,-157986.82,-0.21611744,0.74753441,0.19564098,18.095659,67.258902
227.82104,102059.02,-313523.93,-157986.19,-0.21608452,0.74753417,0.19565174,18.093817,67.265884
227.82195,102058.31,-313521.48,-157985.55,-0.21605126,0.74753393,0.19566262,18.091975,67.272864
227.82285,102057.61,-313519.06,-157984.91,-0.21601839,0.7475337,0.19567337,18.090133,67.279849
227.82375,102056.91,-313516.63,-157984.28,-0.21598553,0.74753347,0.19568412,18.088288,67.286801
227.82465,102056.21,-313514.21,-157983.65,-0.21595269,0.74753323,0.19569487,18.086442,67.293764
227.82556,102055.5,-313511.76,-157983,-0.21591951,0.747533,0.19570573,18.084597,67.300732
227.82646,102054.81,-313509.34,-157982.37,-0.21588671,0.74753278,0.19571647,18.08275,67.30769
227.82736,102054.11,-313506.92,-157981.74,-0.21585393,0.74753255,0.19572721,18.080902,67.314653
227.82834,102053.35,-313504.28,-157981.05,-0.21581825,0.74753231,0.1957389,18.078912,67.322128
227.82924,102052.65,-313501.86,-157980.41,-0.2157855,0.74753209,0.19574962,18.077063,67.329086
227.83014,102051.95,-313499.44,-157979.78,-0.21575278,0.74753187,0.19576035,18.075213,67.336023
227.83104,102051.25,-313497.02,-157979.14,-0.21572007,0.74753165,0.19577107,18.07336,67.342963
227.83194,102050.55,-313494.6,-157978.51,-0.21568738,0.74753144,0.19578179,18.071508,67.3499
227.83284,102049.85,-313492.18,-157977.87,-0.21565471,0.74753123,0.1957925,18.069655,67.356818
227.83376,102049.14,-313489.7,-157977.23,-0.21562133,0.74753101,0.19580345,18.067732,67.363156
227.83466,102048.44,-313487.28,-157976.59,-0.2155887,0.7475308,0.19581415,18.065586,67.36757
227.83556,102047.74,-313484.86,-157975.96,-0.21555608,0.7475306,0.19582486,18.063443,67.371997
227.83653,102046.99,-313482.25,-157975.27,-0.21552095,0.74753038,0.19583639,18.061134,67.376758
227.83743,102046.29,-313479.83,-157974.64,-0.21548837,0.74753017,0.19584708,18.058988,67.381171
227.83833,102045.59,-313477.4,-157974,-0.21545582,0.74752997,0.19585777,18.056841,67.385581
227.83923,102044.89,-313474.98,-157973.37,-0.21542328,0.74752977,0.19586846,18.054694,67.38998
227.84013,102044.2,-313472.56,-157972.73,-0.21539075,0.74752958,0.19587914,18.052547,67.394381
227.84105,102043.48,-313470.09,-157972.08,-0.21535753,0.74752938,0.19589006,18.0504,67.398776
227.84195,102042.79,-313467.66,-157971.45,-0.21532505,0.74752919,0.19590073,18.048253,67.403163
227.84285,102042.09,-313465.24,-157970.82,-0.21529258,0.747529,0.1959114,18.046101,67.407533
227.84375,102041.39,-313462.82,-157970.18,-0.21526013,0.74752881,0.19592207,18.043952,67.411912
227.84473,102040.63,-313460.18,-157969.49,-0.21522482,0.74752861,0.19593368,18.041636,67.416613
227.84563,102039.93,-313457.76,-157968.85,-0.21519241,0.74752842,0.19594434,18.039485,67.42098
227.84653,102039.24,-313455.34,-157968.22,-0.21516002,0.74752824,0.195955,18.037332,67.425328
227.84743,102038.54,-313452.92,-157967.58,-0.21512765,0.74752806,0.19596565,18.03518,67.42969
227.84833,102037.84,-313450.5,-157966.95,-0.2150953,0.74752789,0.1959763,18.033026,67.434019
227.84924,102037.14,-313448.05,-157966.31,-0.21506261,0.74752771,0.19598707,18.030873,67.438365
227.85014,102036.44,-313445.63,-157965.67,-0.21503029,0.74752754,0.19599771,18.028718,67.442698
227.85104,102035.75,-313443.2,-157965.04,-0.21499799,0.74752736,0.19600835,18.028584,67.441164
227.85194,102035.05,-313440.78,-157964.4,-0.21496571,0.7475272,0.19601898,18.028584,67.439234
227.85284,102034.35,-313438.36,-157963.77,-0.21493345,0.74752703,0.19602961,18.028584,67.437312
227.85382,102033.6,-313435.72,-157963.08,-0.21489835,0.74752685,0.19604118,18.028584,67.435239
227.85472,102032.9,-313433.3,-157962.44,-0.21486613,0.74752669,0.19605181,18.028586,67.433318
227.85562,102032.2,-313430.88,-157961.8,-0.21483392,0.74752652,0.19606242,18.028585,67.431389
227.85652,102031.51,-313428.46,-157961.17,-0.21480174,0.74752637,0.19607304,18.028585,67.429457
227.85744,102030.8,-313425.98,-157960.52,-0.21476886,0.74752621,0.19608389,18.028585,67.427535
227.85834,102030.1,-313423.56,-157959.88,-0.21473671,0.74752605,0.1960945,18.028585,67.4256
227.85924,102029.41,-313421.14,-157959.25,-0.21470459,0.7475259,0.1961051,18.028586,67.423682
227.86014,102028.71,-313418.72,-157958.61,-0.21467248,0.74752575,0.1961157,18.028585,67.421752
227.86104,102028.01,-313416.3,-157957.98,-0.21464039,0.7475256,0.1961263,18.028585,67.419833
227.86201,102027.27,-313413.69,-157957.29,-0.21460582,0.74752544,0.19613771,18.028586,67.417751
227.86292,102026.56,-313411.24,-157956.65,-0.21457341,0.7475253,0.19614842,18.028586,67.415822
227.86382,102025.87,-313408.82,-157956.02,-0.21454138,0.74752515,0.19615901,18.028586,67.413907
227.86472,102025.17,-313406.39,-157955.38,-0.21450936,0.74752501,0.19616959,18.028585,67.411968
227.86563,102024.47,-313403.95,-157954.74,-0.21447701,0.74752488,0.19618028,18.028585,67.410045
227.86653,102023.78,-313401.52,-157954.1,-0.21444503,0.74752474,0.19619086,18.028585,67.408117
227.86743,102023.08,-313399.1,-157953.47,-0.21441308,0.74752461,0.19620143,18.029463,67.403244
227.86833,102022.39,-313396.68,-157952.83,-0.21438114,0.74752447,0.19621199,18.030856,67.396641
227.86923,102021.69,-313394.26,-157952.19,-0.21434922,0.74752435,0.19622256,18.032248,67.390019
227.87013,102021,-313391.84,-157951.56,-0.21431731,0.74752422,0.19623312,18.033641,67.383421
227.87111,102020.24,-313389.2,-157950.87,-0.2142826,0.74752408,0.19624461,18.03514,67.376302
227.87201,102019.55,-313386.78,-157950.23,-0.21425073,0.74752396,0.19625516,18.036528,67.369674
227.87291,102018.85,-313384.36,-157949.59,-0.21421889,0.74752384,0.19626571,18.037918,67.36306
227.87383,102018.14,-313381.88,-157948.94,-0.21418635,0.74752372,0.19627649,18.039308,67.35645
227.87473,102017.45,-313379.46,-157948.31,-0.21415455,0.7475236,0.19628703,18.040696,67.349818
227.87563,102016.76,-313377.04,-157947.67,-0.21412276,0.74752348,0.19629757,18.042084,67.343204
227.87653,102016.06,-313374.62,-157947.04,-0.21409099,0.74752337,0.1963081,18.04347,67.336569
227.87743,102015.37,-313372.19,-157946.4,-0.21405924,0.74752326,0.19631863,18.044854,67.329935
227.87833,102014.68,-313369.77,-157945.76,-0.21402751,0.74752315,0.19632916,18.046239,67.323289
227.8793,102013.93,-313367.16,-157945.08,-0.21399333,0.74752304,0.1963405,18.047728,67.316138
227.8802,102013.24,-313364.74,-157944.44,-0.21396163,0.74752294,0.19635102,18.049112,67.309502
227.8811,102012.54,-313362.32,-157943.81,-0.21392996,0.74752283,0.19636153,18.050495,67.302864
227.88202,102011.83,-313359.84,-157943.16,-0.2138976,0.74752273,0.19637227,18.051878,67.296225
227.88292,102011.14,-313357.42,-157942.52,-0.21386596,0.74752263,0.19638278,18.053259,67.289566
227.88382,102010.45,-313355,-157941.88,-0.21383435,0.74752254,0.19639329,18.054658,67.283162
227.88472,102009.76,-313352.58,-157941.25,-0.21380275,0.74752245,0.19640379,18.056099,67.277268
227.88562,102009.06,-313350.16,-157940.61,-0.21377117,0.74752235,0.19641428,18.057541,67.271376
227.88652,102008.37,-313347.73,-157939.97,-0.2137396,0.74752226,0.19642477,18.058982,67.265482
227.88744,102007.66,-313345.26,-157939.32,-0.21370736,0.74752218,0.1964355,18.060422,67.259571
227.8884,102006.92,-313342.68,-157938.64,-0.21367374,0.74752209,0.19644668,18.06197,67.253201
227.88931,102006.22,-313340.23,-157938,-0.21364188,0.747522,0.19645728,18.06341,67.247313
227.89021,102005.53,-313337.8,-157937.36,-0.2136104,0.74752192,0.19646775,18.064847,67.241404
227.89111,102004.84,-313335.38,-157936.73,-0.21357893,0.74752184,0.19647823,18.066284,67.235483
227.89201,102004.15,-313332.96,-157936.09,-0.21354748,0.74752177,0.1964887,18.06772,67.229567
227.89291,102003.46,-313330.54,-157935.45,-0.21351606,0.74752169,0.19649917,18.069154,67.223647
227.89381,102002.77,-313328.12,-157934.82,-0.21348465,0.74752162,0.19650963,18.070588,67.217719
227.89473,102002.06,-313325.64,-157934.17,-0.21345256,0.74752155,0.19652032,18.072025,67.211814
227.89563,102001.37,-313323.22,-157933.53,-0.21342119,0.74752148,0.19653078,18.073458,67.205891
227.89659,102000.63,-313320.64,-157932.85,-0.21338775,0.74752141,0.19654192,18.074999,67.199487
227.8975,101999.93,-313318.19,-157932.21,-0.21335607,0.74752135,0.19655249,18.07643,67.193542
227.8984,101999.24,-313315.77,-157931.57,-0.21332475,0.74752129,0.19656293,18.077862,67.187613
227.8993,101998.55,-313313.34,-157930.93,-0.21329346,0.74752123,0.19657337,18.079293,67.181683
227.9002,101997.86,-313310.92,-157930.3,-0.21326218,0.74752117,0.19658381,18.08073,67.175696
227.90111,101997.16,-313308.47,-157929.65,-0.21323058,0.74752112,0.19659436,18.082749,67.167166
227.90201,101996.47,-313306.05,-157929.01,-0.21319934,0.74752106,0.19660479,18.084764,67.158622
227.90292,101995.77,-313303.6,-157928.37,-0.21316777,0.74752101,0.19661533,18.086779,67.150087
227.90382,101995.08,-313301.18,-157927.73,-0.21313658,0.74752096,0.19662575,18.08879,67.141533
227.90472,101994.39,-313298.76,-157927.1,-0.21310539,0.74752092,0.19663617,18.090803,67.132982
227.9057,101993.64,-313296.12,-157926.4,-0.21307146,0.74752087,0.19664751,18.092967,67.123755
227.9066,101992.95,-313293.7,-157925.77,-0.21304032,0.74752083,0.19665792,18.094976,67.1152
227.9075,101992.26,-313291.28,-157925.13,-0.2130092,0.74752079,0.19666833,18.096983,67.106628
227.9084,101991.57,-313288.86,-157924.49,-0.2129781,0.74752075,0.19667873,18.098989,67.098049
227.9093,101990.88,-313286.43,-157923.85,-0.21294701,0.74752072,0.19668913,18.100992,67.089459
227.9102,101990.19,-313284.01,-157923.22,-0.21291595,0.74752068,0.19669953,18.102997,67.080882
227.91112,101989.48,-313281.54,-157922.56,-0.21288421,0.74752065,0.19671015,18.105,67.0723
227.91202,101988.79,-313279.11,-157921.93,-0.21285318,0.74752062,0.19672054,18.107,67.063691
227.91292,101988.1,-313276.69,-157921.29,-0.21282217,0.7475206,0.19673093,18.108999,67.055083
227.9139,101987.35,-313274.06,-157920.6,-0.21278843,0.74752057,0.19674223,18.11115,67.045823
227.9148,101986.66,-313271.63,-157919.96,-0.21275746,0.74752055,0.19675261,18.113147,67.037205
227.9157,101985.97,-313269.21,-157919.32,-0.21272651,0.74752053,0.19676299,18.11514,67.028569
227.9166,101985.28,-313266.79,-157918.68,-0.21269558,0.74752051,0.19677336,18.117135,67.019947
227.9175,101984.59,-313264.37,-157918.05,-0.21266467,0.7475205,0.19678372,18.118557,67.011956
227.9184,101983.91,-313261.95,-157917.41,-0.21263377,0.74752048,0.19679409,18.119743,67.004231
227.91931,101983.21,-313259.5,-157916.76,-0.21260256,0.74752047,0.19680456,18.120932,66.996531
227.92021,101982.52,-313257.07,-157916.13,-0.2125717,0.74752046,0.19681492,18.122116,66.988801
227.92111,101981.83,-313254.65,-157915.49,-0.21254087,0.74752046,0.19682527,18.123301,66.98107
227.92201,101981.14,-313252.23,-157914.85,-0.21251005,0.74752045,0.19683562,18.124485,66.973342
227.92299,101980.39,-313249.59,-157914.16,-0.21247652,0.74752045,0.19684688,18.125759,66.965028
227.92389,101979.7,-313247.17,-157913.52,-0.21244574,0.74752045,0.19685723,18.126942,66.95729
227.92479,101979.02,-313244.75,-157912.88,-0.21241497,0.74752046,0.19686756,18.128123,66.949549
227.92569,101978.33,-313242.33,-157912.24,-0.21238422,0.74752046,0.1968779,18.129304,66.941815
227.92659,101977.64,-313239.91,-157911.6,-0.21235347,0.74752048,0.19688823,18.130484,66.934073
227.9275,101976.94,-313237.46,-157910.96,-0.2123224,0.7475205,0.19689867,18.131663,66.926345
227.9284,101976.26,-313235.03,-157910.32,-0.21229168,0.74752052,0.19690899,18.132842,66.918595
227.9293,101975.57,-313232.61,-157909.68,-0.21226097,0.74752055,0.19691931,18.134019,66.910841
227.9302,101974.88,-313230.19,-157909.05,-0.21223028,0.74752058,0.19692963,18.135195,66.903097
227.93118,101974.13,-313227.55,-157908.35,-0.21219686,0.74752062,0.19694086,18.136463,66.894757
227.93208,101973.44,-313225.13,-157907.71,-0.21216619,0.74752066,0.19695117,18.137638,66.887005
227.93298,101972.76,-313222.71,-157907.07,-0.21213553,0.74752071,0.19696147,18.138812,66.879239
227.93388,101972.07,-313220.29,-157906.44,-0.21210488,0.74752076,0.19697178,18.138966,66.87675
227.9348,101971.37,-313217.81,-157905.78,-0.21207356,0.74752081,0.1969823,18.137581,66.882151
227.9357,101970.68,-313215.39,-157905.15,-0.21204293,0.74752087,0.1969926,18.136199,66.887562
227.9366,101969.99,-313212.97,-157904.51,-0.21201231,0.74752094,0.19700289,18.134813,66.892956
227.9375,101969.31,-313210.55,-157903.87,-0.21198171,0.74752101,0.19701318,18.133427,66.898347
227.9384,101968.62,-313208.12,-157903.23,-0.21195112,0.74752108,0.19702346,18.13204,66.903739
227.9393,101967.93,-313205.7,-157902.59,-0.21192053,0.74752116,0.19703374,18.130652,66.909126
227.94028,101967.19,-313203.06,-157901.9,-0.21188725,0.74752125,0.19704494,18.129159,66.914941
227.94118,101966.5,-313200.64,-157901.26,-0.21185669,0.74752134,0.19705521,18.127772,66.920329
227.94208,101965.81,-313198.22,-157900.62,-0.21182614,0.74752143,0.19706548,18.126383,66.925713
227.943,101965.11,-313195.74,-157899.97,-0.21179493,0.74752153,0.19707597,18.124996,66.931103
227.9439,101964.43,-313193.32,-157899.33,-0.2117644,0.74752163,0.19708624,18.123607,66.936483
227.9448,101963.74,-313190.9,-157898.69,-0.21173389,0.74752174,0.1970965,18.122216,66.941851
227.9457,101963.05,-313188.48,-157898.05,-0.21170339,0.74752185,0.19710675,18.120827,66.947235
227.9466,101962.37,-313186.06,-157897.41,-0.2116729,0.74752196,0.19711701,18.119435,66.9526
227.9475,101961.68,-313183.63,-157896.78,-0.21164242,0.74752208,0.19712725,18.118043,66.957974
227.94847,101960.94,-313181.02,-157896.09,-0.21160959,0.74752221,0.1971383,18.116544,66.963764
227.94937,101960.26,-313178.6,-157895.45,-0.21157913,0.74752234,0.19714854,18.115153,66.969133
227.95027,101959.57,-313176.18,-157894.81,-0.21154869,0.74752247,0.19715878,18.113547,66.975105
227.95119,101958.87,-313173.7,-157894.16,-0.21151758,0.74752261,0.19716924,18.10983,66.987114
