#GET [h], theta_SUN [deg], phi_SUN [deg], theta_MOON [deg], phi_MOON [deg], theta_EARTH [deg], phi_EARTH [deg] 
251.42368,132.77204,-10.52803,56.152118,-152.52621,132.29405,-45.589094
251.42458,132.74134,-10.535076,56.175029,-152.54536,132.26771,-45.579647
251.42549,132.71063,-10.542107,56.197961,-152.56449,132.24137,-45.570209
251.42639,132.67992,-10.549119,56.2209,-152.5836,132.21503,-45.560774
251.42729,132.64922,-10.556098,56.243865,-152.60267,132.18871,-45.551337
251.42819,132.61851,-10.563042,56.266837,-152.62169,132.16239,-45.541888
251.4291,132.5878,-10.569987,56.28981,-152.6407,132.13606,-45.532459
251.43,132.5571,-10.57688,56.312807,-152.65966,132.10974,-45.523009
251.43097,132.52403,-10.584286,56.337585,-152.68005,132.0814,-45.512839
251.43187,132.49332,-10.591134,56.360604,-152.69894,132.05509,-45.503393
251.43279,132.46262,-10.597956,56.383633,-152.7178,132.02877,-45.493942
251.43369,132.45054,-10.597361,56.38869,-152.71955,132.01469,-45.485758
251.43459,132.4692,-10.584532,56.364102,-152.6931,132.0208,-45.479636
251.43549,132.48785,-10.571681,56.339541,-152.66662,132.02692,-45.473491
251.43639,132.5065,-10.558832,56.314967,-152.64013,132.03302,-45.467337
251.43729,132.52515,-10.545953,56.290406,-152.61361,132.03913,-45.461152
251.4382,132.54379,-10.533045,56.26585,-152.58704,132.04523,-45.45493
251.4391,132.56243,-10.520118,56.24132,-152.56046,132.05136,-45.448696
251.44006,132.5825,-10.506179,56.214906,-152.53181,132.05795,-45.441954
251.44098,132.60114,-10.49323,56.190382,-152.50519,132.06406,-45.435679
251.44188,132.61977,-10.480242,56.165893,-152.47853,132.0702,-45.429374
251.44278,132.6384,-10.467236,56.141398,-152.45184,132.07634,-45.423043
251.44368,132.65702,-10.454238,56.116902,-152.42515,132.08245,-45.41671
251.44458,132.67565,-10.441191,56.092428,-152.39841,132.08858,-45.410329
251.44548,132.69427,-10.428126,56.067971,-152.37165,132.09473,-45.403932
251.4464,132.71288,-10.415058,56.043509,-152.34487,132.10085,-45.397515
251.4473,132.7315,-10.401953,56.019064,-152.31805,132.10699,-45.391068
251.44826,132.75154,-10.387824,55.992757,-152.28914,132.11362,-45.384106
251.44917,132.77015,-10.374679,55.968333,-152.26227,132.11977,-45.377612
251.45007,132.78758,-10.3624,55.944982,-152.23684,132.12508,-45.371409
251.45097,132.78934,-10.361764,55.935858,-152.23079,132.11931,-45.369282
251.45187,132.7911,-10.361112,55.926741,-152.22473,132.11356,-45.367142
251.45277,132.79286,-10.360476,55.917607,-152.21868,132.10779,-45.365009
251.45367,132.79462,-10.359825,55.908479,-152.21262,132.10204,-45.362864
251.45459,132.79638,-10.359189,55.89935,-152.20659,132.09628,-45.360726
251.45549,132.79814,-10.358536,55.89022,-152.20053,132.09052,-45.358571
251.45639,132.7999,-10.357891,55.881097,-152.19448,132.08477,-45.356422
251.45737,132.80179,-10.357208,55.871259,-152.18797,132.07856,-45.354115
251.45827,132.80355,-10.356554,55.862137,-152.18192,132.07281,-45.351953
251.45917,132.80531,-10.355918,55.853007,-152.17588,132.06705,-45.349804
251.46007,132.80707,-10.355264,55.843865,-152.16982,132.06129,-45.347632
251.46097,132.80882,-10.354628,55.834733,-152.16378,132.05553,-45.345477
251.46187,132.81059,-10.353973,55.825607,-152.15773,132.04979,-45.343306
251.46278,132.81234,-10.353337,55.816457,-152.15169,132.04401,-45.341138
251.46368,132.8141,-10.352702,55.807322,-152.14565,132.03826,-45.338979
251.46458,132.81586,-10.352047,55.798193,-152.1396,132.03251,-45.3368
251.46556,132.81776,-10.351354,55.788354,-152.1331,132.02632,-45.334457
251.46646,132.81952,-10.350717,55.779217,-152.12707,132.02056,-45.332286
251.46736,132.83189,-10.346599,55.760521,-152.11231,132.02238,-45.331746
251.46826,132.84759,-10.341391,55.738861,-152.09483,132.02658,-45.331714
251.46916,132.86328,-10.336184,55.717185,-152.07733,132.03077,-45.331674
251.47006,132.87897,-10.33096,55.695525,-152.05982,132.03497,-45.331619
251.47098,132.89467,-10.325728,55.673859,-152.04229,132.03916,-45.331547
251.47188,132.91036,-10.320487,55.652207,-152.02474,132.04336,-45.331468
251.47278,132.92605,-10.315238,55.630568,-152.00719,132.04757,-45.331379
251.47368,132.94174,-10.309999,55.608918,-151.98963,132.05177,-45.331291
251.47466,132.95864,-10.304328,55.585612,-151.97069,132.0563,-45.331165
251.47556,132.97433,-10.299053,55.563968,-151.95307,132.0605,-45.331036
251.47646,132.99002,-10.29377,55.542346,-151.93546,132.06472,-45.3309
251.47736,133.00571,-10.288478,55.52072,-151.91782,132.06894,-45.330749
251.47827,133.0214,-10.283197,55.499082,-151.90018,132.07314,-45.3306
251.47917,133.03709,-10.277889,55.477463,-151.88251,132.07735,-45.330426
251.48007,133.05278,-10.272572,55.45586,-151.86484,132.08159,-45.330245
251.48097,133.06847,-10.267256,55.434239,-151.84715,132.0858,-45.330054
251.48187,133.08416,-10.261923,55.412634,-151.82943,132.09002,-45.329845
251.48285,133.10106,-10.25618,55.389364,-151.81035,132.09456,-45.329611
251.48375,133.11184,-10.254305,55.371884,-151.79836,132.09503,-45.330395
251.48465,133.11673,-10.256582,55.359359,-151.79327,132.09099,-45.332375
251.48555,133.12162,-10.258868,55.34683,-151.78819,132.08694,-45.334357
251.48647,133.12651,-10.261173,55.3343,-151.78313,132.08289,-45.33635
251.48737,133.1314,-10.26346,55.32177,-151.77805,132.07885,-45.338327
251.48827,133.13629,-10.265739,55.309233,-151.77296,132.07481,-45.340291
251.48917,133.14117,-10.268044,55.296688,-151.76788,132.07074,-45.342267
251.49007,133.14606,-10.270333,55.284164,-151.7628,132.06671,-45.344237
251.49097,133.15095,-10.272613,55.271634,-151.75771,132.06267,-45.346192
251.49194,133.15622,-10.275088,55.258128,-151.75224,132.05831,-45.348306
251.49284,133.1611,-10.277378,55.245595,-151.74716,132.05427,-45.350259
251.49374,133.16599,-10.279678,55.233065,-151.74209,132.05023,-45.352223
251.49466,133.17088,-10.281969,55.22052,-151.73701,132.04618,-45.354166
251.49556,133.17577,-10.284261,55.207993,-151.73193,132.04215,-45.356113
251.49646,133.18066,-10.286552,55.195459,-151.72685,132.03811,-45.358052
251.49736,133.18555,-10.288854,55.18291,-151.72177,132.03406,-45.359994
251.49826,133.19044,-10.291147,55.170373,-151.71668,132.03002,-45.361929
251.49916,133.19533,-10.29344,55.157835,-151.7116,132.02598,-45.363858
251.50014,133.20209,-10.294586,55.142974,-151.70404,132.02269,-45.365324
251.50104,133.21721,-10.287859,55.121072,-151.68462,132.02576,-45.363078
251.50194,133.23232,-10.281112,55.099206,-151.66519,132.02886,-45.360816
251.50285,133.24743,-10.274366,55.077331,-151.64575,132.03195,-45.358545
251.50375,133.26255,-10.267601,55.055473,-151.6263,132.03506,-45.35626
251.50465,133.27766,-10.260836,55.033599,-151.60682,132.03815,-45.353959
251.50555,133.29277,-10.254042,55.011745,-151.58732,132.04125,-45.351632
251.50645,133.30789,-10.24726,54.989888,-151.56782,132.04436,-45.34931
251.50735,133.323,-10.240457,54.96805,-151.5483,132.04747,-45.346967
251.50827,133.33811,-10.233655,54.946192,-151.52877,132.05056,-45.344609
251.50923,133.35438,-10.226301,54.922691,-151.50771,132.05393,-45.342053
251.51013,133.36949,-10.219469,54.900849,-151.48813,132.05703,-45.33966
251.51105,133.3846,-10.212639,54.879013,-151.46855,132.06015,-45.337267
251.51195,133.39971,-10.20579,54.857187,-151.44895,132.06327,-45.334852
251.51285,133.41481,-10.198939,54.835356,-151.42933,132.06637,-45.332424
251.51375,133.42993,-10.192062,54.813551,-151.4097,132.06951,-45.329979
251.51465,133.44503,-10.185184,54.79174,-151.39004,132.07263,-45.327522
251.51555,133.46014,-10.178306,54.769939,-151.37039,132.07576,-45.325061
251.51646,133.47524,-10.171419,54.748123,-151.35071,132.07888,-45.32258
251.51743,133.48365,-10.174092,54.732242,-151.34403,132.07718,-45.326409
251.51833,133.48938,-10.179253,54.719496,-151.34166,132.07425,-45.331687
251.51924,133.49511,-10.184418,54.706746,-151.3393,132.07132,-45.336965
251.52014,133.50084,-10.189592,54.693986,-151.33693,132.06838,-45.342244
251.52104,133.50658,-10.194741,54.681243,-151.33455,132.06547,-45.347505
251.52194,133.51231,-10.199918,54.668491,-151.33219,132.06254,-45.35278
251.52284,133.51804,-10.205089,54.655743,-151.32983,132.05961,-45.35805
251.52374,133.52378,-10.210252,54.642979,-151.32745,132.05668,-45.363307
251.52466,133.52951,-10.215426,54.630226,-151.32509,132.05375,-45.368568
251.52556,133.53524,-10.220601,54.617476,-151.32273,132.05083,-45.37383
251.52654,133.54141,-10.226168,54.603758,-151.32019,132.04769,-45.379492
251.52744,133.54713,-10.231355,54.590988,-151.31782,132.04474,-45.384747
251.52834,133.55286,-10.236535,54.578237,-151.31546,132.04182,-45.390002
251.52924,133.55859,-10.241708,54.565489,-151.3131,132.0389,-45.395247
251.53014,133.56432,-10.246892,54.552745,-151.31074,132.03598,-45.400501
251.53104,133.57004,-10.252076,54.539976,-151.30837,132.03303,-45.405739
251.53195,133.57577,-10.257263,54.527223,-151.30601,132.0301,-45.410984
251.53285,133.5815,-10.262442,54.514473,-151.30365,132.02718,-45.416219
251.53375,133.58926,-10.265278,54.499825,-151.29783,132.02564,-45.420059
251.53473,133.60026,-10.265289,54.481573,-151.28706,132.02574,-45.422363
251.53563,133.61047,-10.265296,54.464639,-151.27706,132.02585,-45.424503
251.53653,133.62069,-10.265283,54.447729,-151.26705,132.02598,-45.426631
251.53743,133.6309,-10.265286,54.430788,-151.25704,132.02608,-45.428753
251.53833,133.64112,-10.26528,54.413866,-151.24702,132.0262,-45.430872
251.53923,133.65133,-10.265282,54.396935,-151.237,132.02631,-45.432989
251.54015,133.66154,-10.265282,54.379994,-151.22698,132.02642,-45.435096
251.54105,133.67176,-10.265282,54.363072,-151.21695,132.02654,-45.437207
251.54195,133.68197,-10.265278,54.346142,-151.20691,132.02665,-45.439303
251.54285,133.69218,-10.265266,54.329226,-151.19687,132.02678,-45.441396
251.54382,133.70318,-10.265255,54.311003,-151.18605,132.02691,-45.443645
251.54472,133.71339,-10.265248,54.294067,-151.176,132.02701,-45.445723
251.54562,133.72361,-10.265232,54.277154,-151.16594,132.02715,-45.447799
251.54652,133.73383,-10.265224,54.260227,-151.15588,132.02727,-45.449873
251.54742,133.74404,-10.265214,54.243301,-151.14581,132.02738,-45.451939
251.54834,133.75425,-10.265203,54.226383,-151.13575,132.02751,-45.454003
251.54924,133.76447,-10.26518,54.209455,-151.12566,132.02763,-45.456047
251.55014,133.77529,-10.26302,54.191664,-151.1129,132.02788,-45.456128
251.55104,133.78964,-10.24837,54.168788,-151.08456,132.02889,-45.444726
251.55202,133.8051,-10.232571,54.144177,-151.05402,132.02998,-45.432415
251.55292,133.81944,-10.217869,54.121333,-151.02563,132.031,-45.420951
251.55382,133.83378,-10.20317,54.098486,-150.99723,132.032,-45.409473
251.55472,133.84812,-10.188457,54.075653,-150.96881,132.03302,-45.397978
