#GET [h], theta_SUN [deg], phi_SUN [deg], theta_MOON [deg], phi_MOON [deg], theta_EARTH [deg], phi_EARTH [deg] 
226.79742,80.838375,126.81879,133.41241,-86.579832,97.918695,146.78324
226.79834,80.79918,126.85391,133.45983,-86.542178,97.892714,146.80729
226.79924,80.760027,126.88905,133.50731,-86.504526,97.866778,146.83136
226.80014,80.72091,126.92423,133.55476,-86.466831,97.840872,146.85545
226.80104,80.716583,126.9341,133.54768,-86.465421,97.831884,146.86944
226.80194,80.714293,126.94249,133.53741,-86.466139,97.823884,146.88283
226.80292,80.711823,126.95151,133.52632,-86.466882,97.815264,146.89724
226.80382,80.709532,126.9599,133.51605,-86.467573,97.807267,146.91062
226.80472,80.707246,126.96829,133.50577,-86.468276,97.799263,146.924
226.80562,80.704955,126.97668,133.49548,-86.468978,97.79125,146.9374
226.80653,80.702669,126.98507,133.48518,-86.469631,97.783246,146.95077
226.80743,80.700382,126.99346,133.47489,-86.470323,97.775234,146.96416
226.80833,80.698095,127.00185,133.4646,-86.471004,97.767219,146.97755
226.80923,80.695813,127.01024,133.4543,-86.471681,97.759206,146.99094
226.81013,80.693529,127.01863,133.444,-86.472356,97.751189,147.00432
226.81111,80.691068,127.02766,133.43288,-86.473034,97.742557,147.01872
226.81201,80.688787,127.03605,133.42258,-86.473697,97.734539,147.0321
226.81291,80.686503,127.04444,133.41229,-86.474344,97.726522,147.04548
226.81381,80.684224,127.05283,133.40198,-86.474994,97.718502,147.05886
226.81473,80.681945,127.06122,133.39162,-86.475566,97.710485,147.07223
226.81563,80.679664,127.06961,133.3813,-86.476211,97.702454,147.08562
226.81653,80.677389,127.078,133.37098,-86.476842,97.694429,147.099
226.81743,80.674749,127.08111,133.35919,-86.484945,97.684961,147.10801
226.81833,80.671901,127.0812,133.34658,-86.497286,97.674678,147.11451
226.81923,80.669057,127.08129,133.33395,-86.50961,97.664393,147.12103
226.8202,80.665992,127.08139,133.32035,-86.522872,97.653312,147.12804
226.8211,80.663146,127.08149,133.30772,-86.535184,97.643017,147.13455
226.82202,80.660301,127.08159,133.29504,-86.547396,97.632732,147.14105
226.82292,80.657454,127.08167,133.28239,-86.559704,97.622424,147.14755
226.82382,80.654609,127.08177,133.26974,-86.571984,97.612121,147.15406
226.82472,80.651763,127.08187,133.2571,-86.58425,97.601814,147.16056
226.82562,80.648916,127.08197,133.24445,-86.59651,97.591502,147.16707
226.82652,80.646071,127.08206,133.23179,-86.608768,97.58119,147.17356
226.82742,80.643224,127.08215,133.21912,-86.621028,97.570863,147.18006
226.8284,80.64016,127.08225,133.20547,-86.634152,97.55976,147.18705
226.8293,80.637311,127.08235,133.1928,-86.646374,97.549434,147.19354
226.83022,80.634466,127.08245,133.18007,-86.658524,97.539106,147.20004
226.83112,80.631619,127.08254,133.1674,-86.670734,97.528775,147.20652
226.83202,80.628774,127.08264,133.15472,-86.682927,97.518442,147.21302
226.83292,80.625929,127.08274,133.14204,-86.695114,97.508106,147.2195
226.83382,80.626344,127.0748,133.13066,-86.709194,97.503317,147.21601
226.83472,80.63341,127.05052,133.12195,-86.727111,97.509845,147.19222
226.83563,80.640483,127.02624,133.11321,-86.744989,97.516382,147.16844
226.8366,80.648108,127.00008,133.10383,-86.764285,97.52343,147.14281
226.8375,80.655195,126.9758,133.09512,-86.782182,97.529989,147.11902
226.83841,80.66229,126.95152,133.08637,-86.800054,97.53655,147.09523
226.83931,80.669394,126.92724,133.07764,-86.817955,97.543121,147.07145
226.84021,80.676506,126.90297,133.06892,-86.835843,97.549706,147.04766
226.84111,80.683625,126.87869,133.06019,-86.853739,97.556291,147.02388
226.84201,80.690752,126.85442,133.05145,-86.871625,97.56289,147.0001
226.84291,80.697886,126.83015,133.04272,-86.889502,97.569499,146.97631
226.84383,80.705029,126.80588,133.03393,-86.907303,97.576121,146.95252
226.84473,80.712178,126.7816,133.02519,-86.925181,97.582746,146.92874
226.84569,80.719885,126.75547,133.01581,-86.944448,97.589892,146.90312
226.8466,80.727052,126.73121,133.00704,-86.962268,97.59654,146.87934
226.8475,80.734224,126.70695,132.99829,-86.980124,97.603192,146.85557
226.8484,80.741402,126.68268,132.98953,-86.997987,97.609848,146.83178
226.8493,80.748591,126.65842,132.98078,-87.015835,97.616519,146.808
226.8502,80.755844,126.63416,132.97197,-87.033648,97.62325,146.78423
226.8511,80.765762,126.60986,132.96052,-87.0506,97.632223,146.76075
226.85202,80.775689,126.58557,132.94903,-87.067455,97.641218,146.73728
226.85292,80.785623,126.56127,132.93757,-87.084405,97.650203,146.71381
226.85388,80.796333,126.53511,132.92526,-87.102665,97.659901,146.68854
226.8548,80.806289,126.51082,132.91377,-87.119506,97.668933,146.66506
226.8557,80.816252,126.48654,132.9023,-87.136429,97.677955,146.6416
226.8566,80.826223,126.46225,132.89085,-87.153333,97.686996,146.61813
226.8575,80.836205,126.43797,132.87939,-87.170229,97.696051,146.59467
226.8584,80.846196,126.41369,132.86791,-87.187133,97.705109,146.57121
226.8593,80.856197,126.38942,132.85645,-87.204016,97.714187,146.54774
226.86021,80.866205,126.36514,132.84496,-87.220854,97.723278,146.52427
226.86111,80.876222,126.34088,132.83347,-87.237735,97.732367,146.50082
226.86201,80.886251,126.31661,132.822,-87.2546,97.741481,146.47736
226.86299,80.897059,126.29048,132.80961,-87.272718,97.751302,146.4521
226.86389,80.907103,126.26621,132.79812,-87.289582,97.760429,146.42864
226.86479,80.91716,126.24195,132.78664,-87.306422,97.769575,146.40519
226.86569,80.927223,126.21769,132.77515,-87.323269,97.778726,146.38173
226.8666,80.937297,126.19344,132.76363,-87.340066,97.787893,146.35828
226.8675,80.947634,126.17888,132.75159,-87.347437,97.797103,146.3447
226.86841,80.958077,126.16819,132.73931,-87.350998,97.806329,146.33508
226.86931,80.968524,126.15752,132.72706,-87.354569,97.815567,146.32546
226.87021,80.978974,126.14684,132.71481,-87.358159,97.824803,146.31584
226.87119,80.990233,126.13534,132.70159,-87.361972,97.834764,146.30547
226.87209,81.000689,126.12467,132.68933,-87.365558,97.844007,146.29586
226.87299,81.01115,126.114,132.67708,-87.369129,97.853264,146.28624
226.87389,81.021613,126.10334,132.66482,-87.372719,97.862513,146.27663
226.87479,81.03208,126.09267,132.65257,-87.376302,97.871772,146.26702
226.8757,81.04255,126.082,132.6403,-87.379836,97.881046,146.2574
226.8766,81.053021,126.07133,132.62804,-87.383429,97.890308,146.24779
226.8775,81.063497,126.06068,132.61579,-87.386999,97.899583,146.23818
226.8784,81.073978,126.05002,132.60354,-87.390574,97.908865,146.22857
226.8793,81.084462,126.03937,132.59128,-87.394153,97.918143,146.21897
226.88028,81.095752,126.02789,132.57807,-87.397959,97.928151,146.20862
226.88118,81.10624,126.01724,132.56581,-87.401544,97.937436,146.19902
226.88208,81.116733,126.00659,132.55357,-87.405107,97.946737,146.18942
226.88298,81.127226,125.99594,132.54132,-87.408684,97.956034,146.17982
226.8839,81.127624,125.9963,132.54011,-87.403336,97.957527,146.17935
226.8848,81.113254,126.01275,132.55517,-87.385116,97.947596,146.19223
226.8857,81.098891,126.0292,132.57022,-87.366901,97.937664,146.20512
226.8866,81.084539,126.04567,132.58526,-87.348669,97.927743,146.21802
226.8875,81.070191,126.06213,132.60032,-87.330428,97.917833,146.23091
226.88847,81.054748,126.07988,132.6165,-87.310785,97.907157,146.24482
226.88937,81.040418,126.09635,132.63155,-87.292526,97.897265,146.25771
226.89027,81.026088,126.11282,132.64659,-87.274272,97.88737,146.27061
226.89117,81.011771,126.1293,132.66163,-87.256009,97.877486,146.28352
226.89209,80.997459,126.14579,132.67661,-87.237659,97.867613,146.29643
226.89299,80.983154,126.16227,132.69165,-87.21937,97.857749,146.30934
226.89389,80.968854,126.17877,132.70667,-87.201096,97.847875,146.32227
226.89479,80.954564,126.19526,132.72171,-87.182793,97.838026,146.33518
226.89569,80.940279,126.21176,132.73673,-87.164498,97.828171,146.34811
226.89659,80.926002,126.22827,132.75175,-87.146179,97.81833,146.36104
226.89757,80.910635,126.24605,132.76791,-87.126403,97.80775,146.37495
226.89847,80.896371,126.26257,132.78292,-87.108085,97.797913,146.3879
226.89937,80.882113,126.27908,132.79794,-87.08975,97.788096,146.40082
226.90028,80.86842,126.29567,132.81273,-87.070718,97.778974,146.41372
226.90118,80.859793,126.31298,132.82573,-87.045737,97.776114,146.4263
226.90208,80.851175,126.33029,132.83873,-87.020751,97.773265,146.43887
226.90298,80.84256,126.3476,132.8517,-86.995773,97.770404,146.45147
226.90388,80.83395,126.36492,132.86469,-86.970763,97.76756,146.46405
226.90479,80.825347,126.38223,132.87766,-86.945718,97.764729,146.47662
226.90576,80.816087,126.40088,132.89162,-86.918788,97.761666,146.49017
226.90666,80.807493,126.4182,132.90459,-86.893765,97.758832,146.50276
226.90756,80.798903,126.43551,132.91756,-86.86875,97.756,146.51533
226.90848,80.79032,126.45284,132.93048,-86.843636,97.753182,146.52791
226.90938,80.781746,126.47016,132.94344,-86.818589,97.750365,146.5405
226.91028,80.773171,126.48748,132.95641,-86.793551,97.747546,146.55307
226.91118,80.764603,126.50481,132.96936,-86.768488,97.744734,146.56565
226.91208,80.756043,126.52214,132.98231,-86.743422,97.741928,146.57824
226.91298,80.747485,126.53946,132.99526,-86.718366,97.739119,146.59081
226.9139,80.738935,126.5568,133.00816,-86.693206,97.73633,146.60339
226.91486,80.729731,126.57547,133.02212,-86.666227,97.733315,146.61694
226.91577,80.721189,126.5928,133.03504,-86.641098,97.730531,146.62951
226.91667,80.712656,126.61014,133.04796,-86.616003,97.72774,146.6421
226.91757,80.727285,126.6202,133.03045,-86.598815,97.739792,146.65437
226.91847,80.74804,126.62835,133.00488,-86.583717,97.755768,146.66655
226.91937,80.768787,126.63649,132.9793,-86.568654,97.771727,146.67875
226.92027,80.789534,126.64465,132.95374,-86.55358,97.787691,146.69095
226.92117,80.810275,126.6528,132.92816,-86.538541,97.803639,146.70315
226.92209,80.83101,126.66097,132.90255,-86.523434,97.819586,146.71537
226.92305,80.853336,126.66975,132.87502,-86.507312,97.836734,146.72853
226.92397,80.87406,126.67793,132.84941,-86.492232,97.852665,146.74076
226.92487,80.894785,126.6861,132.82385,-86.477236,97.868587,146.753
226.92577,80.915501,126.69428,132.79828,-86.462265,97.884491,146.76525
226.92667,80.936214,126.70247,132.7727,-86.447306,97.900388,146.77751
226.92757,80.956923,126.71065,132.74713,-86.43236,97.916279,146.78977
226.92847,80.97763,126.71885,132.72156,-86.417431,97.932161,146.80205
226.92938,80.998329,126.72705,132.69597,-86.402476,97.948039,146.81432
226.93028,81.019025,126.73525,132.67039,-86.387575,97.963903,146.82661
226.93118,81.039714,126.74345,132.64483,-86.37268,97.979765,146.8389
226.93216,81.061995,126.75231,132.61725,-86.356623,97.996831,146.85217
226.93306,81.082676,126.76051,132.59169,-86.341771,98.012674,146.86446
226.93396,81.093812,126.7692,132.5785,-86.326314,98.022309,146.87447
226.93486,81.09474,126.77838,132.57856,-86.31022,98.025316,146.88197
226.93576,81.095671,126.78755,132.57862,-86.294128,98.028327,146.88948
226.93666,81.096599,126.79672,132.57868,-86.27805,98.03133,146.89698
226.93758,81.097529,126.80591,132.57869,-86.261888,98.034343,146.90449
226.93848,81.09846,126.81508,132.57875,-86.245804,98.037351,146.912
226.93938,81.09939,126.82426,132.5788,-86.229724,98.040351,146.91952
226.94035,81.100391,126.83414,132.57885,-86.212414,98.043584,146.9276
226.94125,81.101325,126.84332,132.57891,-86.196334,98.046595,146.93511
226.94215,81.102255,126.85249,132.57896,-86.18026,98.049597,146.94262
226.94305,81.103186,126.86167,132.57901,-86.164194,98.052599,146.95013
226.94395,81.104116,126.87085,132.57906,-86.148133,98.055596,146.95765
226.94485,81.10505,126.88002,132.57912,-86.13205,98.058611,146.96514
226.94577,81.105982,126.8892,132.57912,-86.115916,98.061615,146.97266
226.94667,81.106915,126.89838,132.57917,-86.099858,98.064617,146.98017
226.94757,81.107848,126.90755,132.57921,-86.083808,98.067615,146.98768
226.94847,81.10878,126.91673,132.57926,-86.067746,98.070617,146.99519
226.94945,81.109787,126.92661,132.57929,-86.050417,98.073856,147.00327
226.95035,81.10769,126.93357,132.58273,-86.037123,98.07455,147.00797
226.95125,81.091365,126.93012,132.6022,-86.036754,98.064453,146.99939
226.95215,81.075039,126.9267,132.62166,-86.036362,98.054353,146.99083
226.95305,81.05871,126.92326,132.64112,-86.035996,98.044245,146.98226
226.95396,81.042382,126.91983,132.66056,-86.035589,98.034137,146.97369
226.95486,81.026047,126.9164,132.68002,-86.03522,98.024016,146.96514
226.95576,81.009716,126.91298,132.69948,-86.03485,98.013896,146.95658
226.95667,80.993378,126.90956,132.71892,-86.034445,98.003773,146.94803
226.95764,80.975784,126.90588,132.73987,-86.034058,97.992859,146.93882
226.95854,80.959447,126.90246,132.75935,-86.033676,97.982734,146.93027
226.95944,80.943107,126.89905,132.77881,-86.033309,97.972596,146.92173
226.96034,80.926763,126.89565,132.79828,-86.032945,97.96245,146.91319
226.96124,80.910419,126.89224,132.81774,-86.032586,97.952305,146.90465
226.96216,80.894072,126.88884,132.83717,-86.032148,97.942158,146.89612
226.96306,80.877725,126.88544,132.85664,-86.031786,97.932005,146.88758
226.96396,80.861378,126.88205,132.8761,-86.031421,97.921848,146.87905
226.96486,80.845025,126.87866,132.89557,-86.031061,97.911681,146.87053
226.96576,80.828674,126.87527,132.91505,-86.030692,97.901518,146.86201
226.96674,80.811061,126.87162,132.93599,-86.030267,97.890566,146.85283
226.96764,80.821434,126.84617,132.91443,-86.059676,97.893811,146.8335
226.96854,80.835896,126.81736,132.8866,-86.093594,97.899114,146.81254
226.96945,80.850373,126.78856,132.85873,-86.127455,97.904429,146.79157
226.97035,80.864864,126.75976,132.83089,-86.161335,97.909756,146.7706
226.97125,80.879367,126.73096,132.80305,-86.195179,97.915101,146.74962
226.97215,80.893888,126.70218,132.77519,-86.228996,97.920456,146.72866
226.97305,80.908427,126.6734,132.74732,-86.262799,97.925824,146.7077
226.97395,80.922971,126.64462,132.71945,-86.296585,97.931199,146.68672
226.97493,80.938658,126.61363,132.68941,-86.332888,97.937018,146.66413
226.97583,80.953237,126.58486,132.66154,-86.366612,97.942429,146.64316
226.97673,80.967831,126.5561,132.63364,-86.400317,97.947847,146.62219
226.97765,80.98244,126.52734,132.6057,-86.433942,97.953285,146.60121
226.97855,80.997062,126.49858,132.57781,-86.467598,97.958736,146.58023
226.97945,81.011701,126.46984,132.5499,-86.501223,97.964203,146.55925
226.98035,81.026358,126.4411,132.52198,-86.534837,97.969677,146.53828
226.98125,81.041024,126.41236,132.49406,-86.568428,97.975162,146.51731
226.98215,81.055706,126.38362,132.46613,-86.601994,97.980665,146.49632
226.98306,81.070401,126.35489,132.43819,-86.635497,97.986188,146.47533
226.98402,81.072191,126.32727,132.42631,-86.668143,97.982987,146.45198
226.98492,81.061818,126.30444,132.43084,-86.695455,97.972187,146.42962
226.98584,81.051441,126.28161,132.43533,-86.722702,97.961386,146.40727
226.98674,81.041058,126.25879,132.43987,-86.750032,97.950568,146.38492
226.98764,81.030676,126.23595,132.4444,-86.777364,97.939755,146.36256
226.98854,81.020286,126.21312,132.44893,-86.804716,97.928924,146.34022
226.98944,81.009896,126.1903,132.45346,-86.832073,97.91809,146.31788
226.99034,80.999504,126.16747,132.45798,-86.859435,97.907251,146.29555
226.99126,80.989105,126.14464,132.46245,-86.886764,97.896399,146.27321
226.99222,80.977906,126.12006,132.46734,-86.916285,97.884709,146.24917
226.99312,80.967505,126.09723,132.47185,-86.943678,97.873851,146.22684
226.99403,80.9571,126.07441,132.47634,-86.97105,97.862987,146.20452
226.99493,80.946689,126.05158,132.48085,-86.998464,97.852112,146.1822
226.99583,80.93628,126.02875,132.48536,-87.025896,97.841233,146.15988
226.99673,80.925862,126.00592,132.48987,-87.053336,97.830343,146.13757
226.99763,80.915444,125.98309,132.49437,-87.080781,97.819449,146.11527
226.99854,80.905021,125.96027,132.49884,-87.108217,97.808542,146.09297
226.99945,80.894598,125.93743,132.50332,-87.13565,97.79764,146.07066
227.00035,80.884211,125.9209,132.50803,-87.156535,97.786922,146.05453
227.00131,80.873233,125.93493,132.51423,-87.145693,97.776379,146.06833
227.00223,80.863047,125.94794,132.51993,-87.135528,97.766612,146.08111
227.00313,80.852861,125.96097,132.52566,-87.125436,97.756831,146.09392
227.00403,80.842679,125.974,132.5314,-87.115327,97.747061,146.10673
227.00493,80.832506,125.98704,132.53713,-87.105218,97.737295,146.11955
227.00583,80.822332,126.00007,132.54287,-87.095116,97.727527,146.13237
227.00673,80.812164,126.01309,132.5486,-87.085008,97.717773,146.14517
227.00764,80.801999,126.02613,132.55431,-87.074857,97.70802,146.158
227.00854,80.791838,126.03918,132.56004,-87.064742,97.698265,146.17083
227.00952,80.780901,126.05322,132.56618,-87.053808,97.687775,146.18463
227.01042,80.770746,126.06626,132.57191,-87.043686,97.678031,146.19746
227.01132,80.760598,126.0793,132.57763,-87.033565,97.668292,146.21029
227.01222,80.75045,126.09235,132.58336,-87.023437,97.658557,146.22312
227.01312,80.740313,126.1054,132.58907,-87.013313,97.648826,146.23595
227.01402,80.730176,126.11845,132.5948,-87.003178,97.639102,146.24879
227.01492,80.720042,126.1315,132.60052,-86.993043,97.629379,146.26163
227.01584,80.709916,126.14456,132.60619,-86.982835,97.619672,146.27447
227.01674,80.69979,126.15761,132.61191,-86.972691,97.60996,146.28731
227.01772,80.712982,126.18154,132.59722,-86.940472,97.621723,146.31245
227.01862,80.728356,126.20504,132.5809,-86.907833,97.635524,146.33727
227.01952,80.743725,126.22854,132.56457,-86.875232,97.649307,146.3621
227.02042,80.759088,126.25203,132.54824,-86.842648,97.663081,146.38693
227.02132,80.774445,126.27553,132.53191,-86.810078,97.676847,146.41177
227.02222,80.789796,126.29904,132.51556,-86.777537,97.690594,146.43662
227.02313,80.805141,126.32254,132.49918,-86.744991,97.70433,146.46149
227.02403,80.820483,126.34604,132.48283,-86.712492,97.718061,146.48634
227.02493,80.835815,126.36954,132.46647,-86.680019,97.731772,146.51121
227.02583,80.851141,126.39305,132.4501,-86.647564,97.745473,146.53609
227.02681,80.867639,126.41836,132.43245,-86.612601,97.760216,146.56289
227.02771,80.882954,126.44187,132.41607,-86.580197,97.773888,146.58779
227.02861,80.898261,126.46537,132.39969,-86.547821,97.787549,146.61268
227.02951,80.913564,126.48888,132.3833,-86.515448,97.801203,146.63759
227.03041,80.928859,126.51239,132.36691,-86.483112,97.814838,146.66251
227.03133,80.944152,126.5359,132.35046,-86.450722,97.828473,146.68743
227.03223,80.959432,126.55941,132.33406,-86.418441,97.842078,146.71235
227.03313,80.974713,126.58292,132.31766,-86.386151,97.855687,146.73729
227.03403,80.968874,126.60701,132.32929,-86.352284,97.856001,146.75633
227.035,80.944748,126.63345,132.36553,-86.314416,97.845126,146.77184
227.0359,80.922361,126.65802,132.39916,-86.27922,97.835038,146.78625
227.0368,80.899989,126.68258,132.43281,-86.243978,97.824972,146.80064
227.0377,80.877637,126.70717,132.46644,-86.208704,97.814917,146.81505
227.0386,80.855299,126.73175,132.50005,-86.173416,97.804873,146.82944
227.03952,80.832977,126.75635,132.53362,-86.138008,97.794848,146.84385
227.04042,80.810669,126.78096,132.56722,-86.102649,97.784825,146.85825
227.04132,80.788382,126.80558,132.60081,-86.067239,97.774821,146.87267
227.04222,80.76611,126.8302,132.63439,-86.031815,97.764831,146.88706
227.04312,80.743851,126.85484,132.66797,-85.996341,97.75485,146.90147
227.0441,80.719902,126.88139,132.70408,-85.958078,97.744114,146.917
227.045,80.697679,126.90604,132.73765,-85.922527,97.734173,146.93139
227.0459,80.675471,126.93071,132.77119,-85.88696,97.724228,146.94581
227.0468,80.653282,126.95538,132.80473,-85.851349,97.714307,146.96021
227.04771,80.631108,126.98007,132.83823,-85.815669,97.704396,146.97463
227.04861,80.608952,127.00476,132.87175,-85.780001,97.694497,146.98903
227.04951,80.586808,127.02947,132.90525,-85.744294,97.684605,147.00345
227.05042,80.574329,127.04169,132.92067,-85.727475,97.677525,147.01119
227.05132,80.590427,127.01692,132.88261,-85.766821,97.678696,146.9992
227.05229,80.607777,126.99025,132.8416,-85.809151,97.679965,146.98627
227.05319,80.623903,126.96549,132.80351,-85.848403,97.681147,146.97426
227.0541,80.64004,126.94075,132.76539,-85.887583,97.682335,146.96225
227.055,80.656189,126.91599,132.72728,-85.926766,97.683524,146.95021
227.05591,80.672357,126.89125,132.68914,-85.965846,97.684732,146.93818
227.05681,80.688535,126.86652,132.651,-86.004931,97.68593,146.92615
227.05771,80.704722,126.84179,132.61286,-86.043975,97.687132,146.91411
227.05861,80.720925,126.81706,132.57471,-86.082971,97.688349,146.90204
227.05951,80.737144,126.79234,132.53653,-86.121926,97.689563,146.89
227.06041,80.753374,126.76763,132.49835,-86.160834,97.690784,146.87794
227.06139,80.770865,126.74102,132.45721,-86.202655,97.69211,146.86493
227.06229,80.787123,126.71633,132.419,-86.241475,97.69334,146.85286
227.0632,80.803392,126.69163,132.38076,-86.280225,97.694574,146.84078
227.0641,80.819673,126.66693,132.34255,-86.318954,97.695825,146.82867
227.065,80.83597,126.64225,132.30431,-86.357651,97.697068,146.81658
227.0659,80.852278,126.61758,132.26605,-86.396308,97.698311,146.80448
227.0668,80.868599,126.59291,132.2278,-86.434915,97.699568,146.79237
227.0677,80.862347,126.57459,132.22625,-86.458725,97.690907,146.77617
227.0686,80.854772,126.55664,132.22687,-86.481673,97.681666,146.75971
227.06958,80.846613,126.53731,132.2275,-86.506357,97.671711,146.742
227.07048,80.839033,126.51936,132.22812,-86.529313,97.662461,146.72556
227.0714,80.831453,126.50141,132.22868,-86.552222,97.65321,146.70911
227.0723,80.823872,126.48346,132.22928,-86.57519,97.643949,146.69268
227.0732,80.816291,126.46552,132.22988,-86.598161,97.634687,146.67625
227.0741,80.808704,126.44757,132.23048,-86.621146,97.625418,146.65981
227.075,80.801119,126.42962,132.23108,-86.644123,97.61615,146.64338
227.0759,80.793531,126.41167,132.23168,-86.667124,97.606872,146.62695
227.07681,80.78594,126.39373,132.23226,-86.690077,97.597597,146.61052
227.07771,80.77835,126.37578,132.23284,-86.713085,97.588308,146.5941
227.07867,80.770174,126.35645,132.23351,-86.737881,97.578312,146.57641
227.07959,80.76258,126.3385,132.23405,-86.760831,97.569024,146.55999
227.08049,80.754982,126.32055,132.23464,-86.783848,97.559727,146.54356
227.08139,80.747384,126.3026,132.23523,-86.80687,97.550431,146.52714
227.08229,80.739787,126.28465,132.23581,-86.829897,97.541126,146.51073
227.08319,80.732184,126.26671,132.2364,-86.85292,97.531819,146.49432
227.08409,80.728092,126.26945,132.2469,-86.83946,97.533944,146.49199
227.085,80.725998,126.28398,132.26304,-86.805156,97.542581,146.49769
227.0859,80.723905,126.29851,132.27919,-86.770866,97.551214,146.50338
227.08687,80.721653,126.31416,132.29658,-86.733918,97.56051,146.50949
227.08778,80.719566,126.32869,132.3127,-86.699553,97.56915,146.51516
227.08868,80.717479,126.34322,132.32882,-86.66521,97.577776,146.52083
227.08958,80.715397,126.35776,132.34493,-86.630849,97.586401,146.5265
227.09048,80.713312,126.37229,132.36103,-86.596477,97.595021,146.53216
227.09138,80.711235,126.38683,132.37712,-86.562086,97.60364,146.53782
227.09229,80.709153,126.40136,132.39318,-86.527652,97.612258,146.54346
227.0932,80.707079,126.41589,132.40924,-86.493189,97.62088,146.5491
227.0941,80.705002,126.43043,132.42529,-86.458756,97.629485,146.55474
227.095,80.70293,126.44496,132.44135,-86.424302,97.638098,146.56036
227.09598,80.700702,126.46062,132.4586,-86.387132,97.647372,146.56643
227.09688,80.69863,126.47514,132.47464,-86.352649,97.655974,146.57204
227.09778,80.696565,126.48968,132.49066,-86.31814,97.664576,146.57765
227.09868,80.694499,126.50422,132.50666,-86.283624,97.673168,146.58327
227.09958,80.692435,126.51875,132.52268,-86.249084,97.681768,146.58886
227.10048,80.69862,126.53379,132.52871,-86.213325,97.696192,146.59696
227.1014,80.722153,126.5499,132.51373,-86.174979,97.722875,146.61037
227.1023,80.745677,126.56602,132.4988,-86.136717,97.749541,146.62379
227.1032,80.769188,126.58215,132.48384,-86.098488,97.776184,146.63722
227.10417,80.794502,126.59951,132.46773,-86.057332,97.804873,146.6517
227.10507,80.818001,126.61565,132.45276,-86.019128,97.831501,146.66515
227.10597,80.841488,126.63178,132.43778,-85.980968,97.858108,146.67862
227.10687,80.864967,126.64793,132.42278,-85.942829,97.884696,146.69211
227.10777,80.888435,126.66408,132.40779,-85.904697,97.911284,146.70559
227.10867,80.9119,126.68024,132.39278,-85.866587,97.937857,146.7191
227.10959,80.93535,126.69639,132.37772,-85.828452,97.964415,146.73261
227.11049,80.958796,126.71256,132.36269,-85.790387,97.990959,146.74614
227.11139,80.982232,126.72872,132.34764,-85.752363,98.017487,146.75968
227.11229,81.005656,126.74489,132.3326,-85.714346,98.044003,146.77323
227.11327,81.030879,126.76232,132.31636,-85.673393,98.072549,146.78784
227.11417,81.054285,126.7785,132.3013,-85.635426,98.099036,146.80141
227.11507,81.077685,126.79468,132.28622,-85.59748,98.125513,146.815
227.11597,81.101079,126.81088,132.27113,-85.559554,98.151974,146.82861
227.11688,81.124372,126.82666,132.25598,-85.522213,98.178268,146.84185
227.11778,81.141655,126.8139,132.2378,-85.525645,98.193722,146.83069
227.11868,81.158945,126.80115,132.21962,-85.529077,98.209181,146.81954
227.11958,81.176241,126.7884,132.20144,-85.532501,98.224651,146.80839
227.12048,81.19354,126.77566,132.18326,-85.535927,98.240127,146.79723
227.12146,81.212178,126.76194,132.16365,-85.539587,98.256803,146.78523
227.12236,81.229493,126.7492,132.14547,-85.543,98.2723,146.77409
227.12326,81.24681,126.73647,132.1273,-85.546412,98.287804,146.76295
227.12416,81.264137,126.72375,132.10912,-85.549819,98.303319,146.75181
227.12508,81.281467,126.71104,132.09089,-85.553155,98.318845,146.74069
227.12598,81.298806,126.69832,132.0727,-85.55657,98.334368,146.72957
227.12688,81.316148,126.68561,132.05451,-85.559964,98.349905,146.71845
227.12778,81.333498,126.67291,132.03633,-85.563359,98.365453,146.70733
227.12868,81.350852,126.66022,132.01814,-85.566744,98.381004,146.69623
227.12958,81.368214,126.64752,131.99995,-85.570132,98.396568,146.68512
227.13055,81.386916,126.63386,131.98036,-85.57378,98.413332,146.67317
227.13145,81.404289,126.62118,131.96217,-85.577157,98.428911,146.66207
227.13235,81.421667,126.60849,131.94398,-85.580538,98.4445,146.65097
227.13327,81.439051,126.59582,131.92575,-85.583846,98.460101,146.63988
227.13417,81.42266,126.59627,131.93604,-85.590391,98.443895,146.64025
227.13507,81.392248,126.60216,131.95816,-85.59823,98.414501,146.64538
227.13597,81.361843,126.60808,131.98027,-85.606079,98.385106,146.65053
227.13687,81.331439,126.614,132.00237,-85.613932,98.355715,146.6557
227.13777,81.301041,126.61993,132.02448,-85.621772,98.326335,146.66088
227.13875,81.268305,126.62633,132.04826,-85.630196,98.294696,146.66647
227.13965,81.237912,126.6323,132.07035,-85.638037,98.265319,146.6717
227.14055,81.207524,126.63827,132.09245,-85.645877,98.235951,146.67693
227.14146,81.177137,126.64426,132.11451,-85.653698,98.206582,146.68219
227.14236,81.146755,126.65026,132.1366,-85.661538,98.177222,146.68746
227.14326,81.116374,126.65627,132.15868,-85.669379,98.147862,146.69275
227.14417,81.086001,126.6623,132.18074,-85.677189,98.118513,146.69805
227.14507,81.055626,126.66834,132.20281,-85.68503,98.089159,146.70338
227.14597,81.025258,126.6744,132.22488,-85.692865,98.059815,146.70873
227.14688,80.994892,126.68047,132.24692,-85.700675,98.030472,146.71409
227.14784,80.962193,126.687,132.2707,-85.70915,97.998876,146.71988
227.14874,80.931837,126.69311,132.29276,-85.716974,97.969547,146.72528
